sentence,verb_number,attractor_num,adjective,template,template_num,subject,attractor,adj_subj,adj_attr
The football near the trees is generally fairly flat,SG,PL,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees is generally fairly tall,SG,PL,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the tree are generally fairly flat,PL,SG,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the tree are generally fairly tall,PL,SG,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees are generally fairly flat,PL,PL,flat,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The football near the trees are generally fairly tall,PL,PL,tall,The football near the tree was generally fairly flat / tall,25,The football,tree,flat,flat
The plant next to the gnome is really quite leafy,SG,SG,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome is really quite scary,SG,SG,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes is really quite leafy,SG,PL,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes is really quite scary,SG,PL,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome are really quite leafy,PL,SG,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnome are really quite scary,PL,SG,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes are really quite leafy,PL,PL,leafy,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The plant next to the gnomes are really quite scary,PL,PL,scary,The plant next to the gnome was really quite leafy / scary,26,The plant,gnome,leafy,leafy
The apple near the cabinet is luckily fairly fresh,SG,SG,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinet is luckily fairly childproof,SG,SG,childproof,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinets is luckily fairly fresh,SG,PL,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinets is luckily fairly childproof,SG,PL,childproof,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinet are luckily fairly fresh,PL,SG,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinet are luckily fairly childproof,PL,SG,childproof,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinets are luckily fairly fresh,PL,PL,fresh,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The apple near the cabinets are luckily fairly childproof,PL,PL,childproof,The apple near the cabinet was luckily fairly fresh / childproof,27,The apple,cabinet,fresh,fresh
The key for the door is apparently quite lost,SG,SG,lost,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the door is apparently quite open,SG,SG,open,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the doors is apparently quite lost,SG,PL,lost,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the doors is apparently quite open,SG,PL,open,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the door are apparently quite lost,PL,SG,lost,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the door are apparently quite open,PL,SG,open,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the doors are apparently quite lost,PL,PL,lost,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The key for the doors are apparently quite open,PL,PL,open,The key for the door was apparently quite lost / open,28,The key,door,lost,lost
The couple with the stroller is seemingly rather tired,SG,SG,tired,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the stroller is seemingly rather damaged,SG,SG,damaged,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the strollers is seemingly rather tired,SG,PL,tired,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the strollers is seemingly rather damaged,SG,PL,damaged,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the stroller are seemingly rather tired,PL,SG,tired,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the stroller are seemingly rather damaged,PL,SG,damaged,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the strollers are seemingly rather tired,PL,PL,tired,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The couple with the strollers are seemingly rather damaged,PL,PL,damaged,The couple with the stroller was seemingly rather tired / damaged,29,The couple,stroller,tired,tired
The movie with the dinosaur is really quite well-made,SG,SG,well-made,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaur is really quite extinct,SG,SG,extinct,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaurs is really quite well-made,SG,PL,well-made,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaurs is really quite extinct,SG,PL,extinct,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaur are really quite well-made,PL,SG,well-made,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaur are really quite extinct,PL,SG,extinct,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaurs are really quite well-made,PL,PL,well-made,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The movie with the dinosaurs are really quite extinct,PL,PL,extinct,The movie with the dinosaur was really quite well-made / extinct,30,The movie,dinosaur,well-made,well-made
The man with the crutch is unfortunately very unhealthy,SG,SG,unhealthy,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutch is unfortunately very bent,SG,SG,bent,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutchs is unfortunately very unhealthy,SG,PL,unhealthy,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutchs is unfortunately very bent,SG,PL,bent,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutch are unfortunately very unhealthy,PL,SG,unhealthy,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutch are unfortunately very bent,PL,SG,bent,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutchs are unfortunately very unhealthy,PL,PL,unhealthy,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The man with the crutchs are unfortunately very bent,PL,PL,bent,The man with the crutch was unfortunately very unhealthy / bent,31,The man,crutch,unhealthy,unhealthy
The music for the concert is clearly very difficult,SG,SG,difficult,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concert is clearly very crowded,SG,SG,crowded,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concerts is clearly very difficult,SG,PL,difficult,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concerts is clearly very crowded,SG,PL,crowded,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concert are clearly very difficult,PL,SG,difficult,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concert are clearly very crowded,PL,SG,crowded,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concerts are clearly very difficult,PL,PL,difficult,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The music for the concerts are clearly very crowded,PL,PL,crowded,The music for the concert was clearly very difficult / crowded,32,The music,concert,difficult,difficult
The eraser beside the pencil is evidently rather round,SG,SG,round,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencil is evidently rather sharp,SG,SG,sharp,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencils is evidently rather round,SG,PL,round,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencils is evidently rather sharp,SG,PL,sharp,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencil are evidently rather round,PL,SG,round,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencil are evidently rather sharp,PL,SG,sharp,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencils are evidently rather round,PL,PL,round,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The eraser beside the pencils are evidently rather sharp,PL,PL,sharp,The eraser beside the pencil was evidently rather round / sharp,33,The eraser,pencil,round,round
The owner of the store is rarely ever friendly,SG,SG,friendly,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the store is rarely ever cluttered,SG,SG,cluttered,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the stores is rarely ever friendly,SG,PL,friendly,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the stores is rarely ever cluttered,SG,PL,cluttered,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the store are rarely ever friendly,PL,SG,friendly,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the store are rarely ever cluttered,PL,SG,cluttered,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the stores are rarely ever friendly,PL,PL,friendly,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The owner of the stores are rarely ever cluttered,PL,PL,cluttered,The owner of the store was rarely ever friendly / cluttered,34,The owner,store,friendly,friendly
The person by the lounge is rarely ever excited,SG,SG,excited,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounge is rarely ever vacant,SG,SG,vacant,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounges is rarely ever excited,SG,PL,excited,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounges is rarely ever vacant,SG,PL,vacant,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounge are rarely ever excited,PL,SG,excited,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounge are rarely ever vacant,PL,SG,vacant,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounges are rarely ever excited,PL,PL,excited,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The person by the lounges are rarely ever vacant,PL,PL,vacant,The person by the lounge was rarely ever excited / vacant,35,The person,lounge,excited,excited
The house by the waterfall is probably extremely expensive,SG,SG,expensive,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfall is probably extremely turbulent,SG,SG,turbulent,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfalls is probably extremely expensive,SG,PL,expensive,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfalls is probably extremely turbulent,SG,PL,turbulent,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfall are probably extremely expensive,PL,SG,expensive,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfall are probably extremely turbulent,PL,SG,turbulent,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfalls are probably extremely expensive,PL,PL,expensive,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The house by the waterfalls are probably extremely turbulent,PL,PL,turbulent,The house by the waterfall was probably extremely expensive / turbulent,36,The house,waterfall,expensive,expensive
The backpack with the zipper is unfortunately extremely heavy,SG,SG,heavy,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zipper is unfortunately extremely broken,SG,SG,broken,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zippers is unfortunately extremely heavy,SG,PL,heavy,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zippers is unfortunately extremely broken,SG,PL,broken,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zipper are unfortunately extremely heavy,PL,SG,heavy,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zipper are unfortunately extremely broken,PL,SG,broken,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zippers are unfortunately extremely heavy,PL,PL,heavy,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The backpack with the zippers are unfortunately extremely broken,PL,PL,broken,The backpack with the zipper was unfortunately extremely heavy / broken,37,The backpack,zipper,heavy,heavy
The book near the window is only slightly tattered,SG,SG,tattered,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the window is only slightly transparent,SG,SG,transparent,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the windows is only slightly tattered,SG,PL,tattered,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the windows is only slightly transparent,SG,PL,transparent,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the window are only slightly tattered,PL,SG,tattered,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the window are only slightly transparent,PL,SG,transparent,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the windows are only slightly tattered,PL,PL,tattered,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The book near the windows are only slightly transparent,PL,PL,transparent,The book near the window was only slightly tattered / transparent,38,The book,window,tattered,tattered
The note for the proprietor is surprisingly very illegible,SG,SG,illegible,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietor is surprisingly very happy,SG,SG,happy,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietors is surprisingly very illegible,SG,PL,illegible,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietors is surprisingly very happy,SG,PL,happy,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietor are surprisingly very illegible,PL,SG,illegible,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietor are surprisingly very happy,PL,SG,happy,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietors are surprisingly very illegible,PL,PL,illegible,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The note for the proprietors are surprisingly very happy,PL,PL,happy,The note for the proprietor was surprisingly very illegible / happy,39,The note,proprietor,illegible,illegible
The umbrella near the closet is certainly very wet,SG,SG,wet,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closet is certainly very empty,SG,SG,empty,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closets is certainly very wet,SG,PL,wet,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closets is certainly very empty,SG,PL,empty,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closet are certainly very wet,PL,SG,wet,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closet are certainly very empty,PL,SG,empty,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closets are certainly very wet,PL,PL,wet,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The umbrella near the closets are certainly very empty,PL,PL,empty,The umbrella near the closet was certainly very wet / empty,40,The umbrella,closet,wet,wet
The towel on the shelf is almost entirely shredded,SG,SG,shredded,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelf is almost entirely tidy,SG,SG,tidy,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelfs is almost entirely shredded,SG,PL,shredded,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelfs is almost entirely tidy,SG,PL,tidy,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelf are almost entirely shredded,PL,SG,shredded,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelf are almost entirely tidy,PL,SG,tidy,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelfs are almost entirely shredded,PL,PL,shredded,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The towel on the shelfs are almost entirely tidy,PL,PL,tidy,The towel on the shelf was almost entirely shredded / tidy,41,The towel,shelf,shredded,shredded
The photograph for the newspaper is certainly well cropped,SG,SG,cropped,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspaper is certainly well proofread,SG,SG,proofread,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspapers is certainly well cropped,SG,PL,cropped,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspapers is certainly well proofread,SG,PL,proofread,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspaper are certainly well cropped,PL,SG,cropped,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspaper are certainly well proofread,PL,SG,proofread,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspapers are certainly well cropped,PL,PL,cropped,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The photograph for the newspapers are certainly well proofread,PL,PL,proofread,The photograph for the newspaper was certainly well cropped / proofread,42,The photograph,newspaper,cropped,cropped
The child with the basketball is usually fairly happy,SG,SG,happy,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketball is usually fairly inflated,SG,SG,inflated,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketballs is usually fairly happy,SG,PL,happy,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketballs is usually fairly inflated,SG,PL,inflated,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketball are usually fairly happy,PL,SG,happy,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketball are usually fairly inflated,PL,SG,inflated,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketballs are usually fairly happy,PL,PL,happy,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The child with the basketballs are usually fairly inflated,PL,PL,inflated,The child with the basketball was usually fairly happy / inflated,43,The child,basketball,happy,happy
The water in the cooler is always remarkably refreshing,SG,SG,refreshing,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the cooler is always remarkably damaged,SG,SG,damaged,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the coolers is always remarkably refreshing,SG,PL,refreshing,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the coolers is always remarkably damaged,SG,PL,damaged,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the cooler are always remarkably refreshing,PL,SG,refreshing,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the cooler are always remarkably damaged,PL,SG,damaged,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the coolers are always remarkably refreshing,PL,PL,refreshing,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The water in the coolers are always remarkably damaged,PL,PL,damaged,The water in the cooler was always remarkably refreshing / damaged,44,The water,cooler,refreshing,refreshing
The runner in the marathon is certainly very athletic,SG,SG,athletic,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathon is certainly very long,SG,SG,long,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathons is certainly very athletic,SG,PL,athletic,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathons is certainly very long,SG,PL,long,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathon are certainly very athletic,PL,SG,athletic,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathon are certainly very long,PL,SG,long,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathons are certainly very athletic,PL,PL,athletic,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The runner in the marathons are certainly very long,PL,PL,long,The runner in the marathon was certainly very athletic / long,45,The runner,marathon,athletic,athletic
The ground under the water fountain is occasionally somewhat slippery,SG,SG,slippery,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountain is occasionally somewhat loud,SG,SG,loud,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountains is occasionally somewhat slippery,SG,PL,slippery,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountains is occasionally somewhat loud,SG,PL,loud,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountain are occasionally somewhat slippery,PL,SG,slippery,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountain are occasionally somewhat loud,PL,SG,loud,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountains are occasionally somewhat slippery,PL,PL,slippery,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The ground under the water fountains are occasionally somewhat loud,PL,PL,loud,The ground under the water fountain was occasionally somewhat slippery / loud,46,The ground,fountain,slippery,slippery
The elf with the present is almost always joyful,SG,SG,joyful,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the present is almost always wrapped,SG,SG,wrapped,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the presents is almost always joyful,SG,PL,joyful,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the presents is almost always wrapped,SG,PL,wrapped,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the present are almost always joyful,PL,SG,joyful,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the present are almost always wrapped,PL,SG,wrapped,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the presents are almost always joyful,PL,PL,joyful,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The elf with the presents are almost always wrapped,PL,PL,wrapped,The elf with the present was almost always joyful / wrapped,47,The elf,present,joyful,joyful
The food for the event is unquestionably very delicious,SG,SG,delicious,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the event is unquestionably very organized,SG,SG,organized,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the events is unquestionably very delicious,SG,PL,delicious,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the events is unquestionably very organized,SG,PL,organized,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the event are unquestionably very delicious,PL,SG,delicious,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the event are unquestionably very organized,PL,SG,organized,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the events are unquestionably very delicious,PL,PL,delicious,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
The food for the events are unquestionably very organized,PL,PL,organized,The food for the event was unquestionably very delicious / organized,48,The food,event,delicious,delicious
